company,ticker,asset_type,owner_code,date,type,amount
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/30/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/16/2023,P,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,P,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/17/2023,S,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,S,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/23/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/31/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/17/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,P,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,P,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/17/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,S,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/21/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/12/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/23/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/15/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/20/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/12/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/22/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/22/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/16/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/17/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/15/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/12/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/26/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/30/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/10/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/24/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/20/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/25/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/24/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/26/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/29/2023,P,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/28/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/16/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/12/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/17/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/13/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/16/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/12/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/19/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/29/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/29/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/22/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/30/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/12/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/10/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/23/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/17/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/28/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/26/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/23/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/24/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/21/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/26/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/16/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/24/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/22/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/28/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/17/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/28/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/17/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/16/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/20/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/24/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/20/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/12/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/17/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,P,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,P,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,S,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/17/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/16/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/24/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/30/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/23/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/10/2023,P,1001 - $15000
TriNet 401(k) Plan - Tusk Strategies LLC ⇒ SP,,,,03/31/2023,P,15001 - $50000
TriNet 401(k) Plan - Tusk Strategies LLC ⇒ SP,,,,09/29/2023,P,1001 - $15000
TriNet 401(k) Plan - Tusk Strategies LLC ⇒ SP,,,,06/30/2023,P,15001 - $50000
Tusk Strategies Inc. Retirement Plan ⇒ SP,,,,03/31/2023,P,15001 - $50000
Wealthfront ⇒,,,,03/15/2023,P,1001 - $15000
